CURE,Memory-one
1.02976728,1.03038358
1.25289697,1.25290737
1.43307993,1.43308953
1.56768218,1.56769163
1.67240446,1.67241321
1.75589185,1.75590095
1.82438102,1.82439012
1.88132172,1.88133052
1.92956423,1.92957308
1.97087149,1.97087999
2.00331945,2.0033275
1.03280862,1.03287647
1.27357239,1.27358269
1.46244674,1.46245584
1.60140267,1.60141207
1.70741592,1.70742517
1.79127042,1.79127897
1.85921699,1.85922589
1.91530408,1.91531288
1.96251819,1.96252669
2.00272284,2.00273124
2.0341708,2.03417875
1.03678144,1.03681039
1.3003324,1.30034295
1.50062916,1.50063836
1.64381464,1.64382339
1.75100305,1.7510121
1.83460547,1.83461447
1.90149856,1.90150741
1.95628961,1.95629791
2.00201331,2.00202166
2.0405472,2.04055575
2.07065281,2.07066131
1.04187928,1.04190138
1.33340509,1.33341489
1.54547677,1.54548632
1.69238345,1.6923922
1.80040767,1.80041637
1.88287469,1.88288309
1.9480508,1.94805915
2.0010302,2.0010387
2.04480976,2.04481811
2.08149584,2.08150469
2.10984138,2.10984953
1.04859,1.04860905
1.37413687,1.37414667
1.59914729,1.59915649
1.74945656,1.74946531
1.85654686,1.85655551
1.93711199,1.93712034
1.99982737,1.99983577
2.05017095,2.0501796
2.09130611,2.09131411
2.1256718,2.1256795
2.15215396,2.15216221
1.05768611,1.05770051
1.42690213,1.42691128
1.66470886,1.66471781
1.81608152,1.81609042
1.92127132,1.92127972
1.99854556,1.99855431
2.05751323,2.05752183
2.10445207,2.10446007
2.14234093,2.14234838
2.17372253,2.17373083
2.1976389,2.1976468
1.07093737,1.07095042
1.49642643,1.49643548
1.74588735,1.7458959
1.89635104,1.89635949
1.99660375,1.9966123
2.06834945,2.06835755
2.12241199,2.12241999
2.1645173,2.1645256
2.19831723,2.19832493
2.22598603,2.22599373
2.24695168,2.24695978
1.09268339,1.09269529
1.59338996,1.59339916
1.84999499,1.85000389
1.99355691,1.99356561
2.08525423,2.08526263
2.14887262,2.14888107
2.19564995,2.19565755
2.23175332,2.23176132
2.26002215,2.26002975
2.28314132,2.28314887
2.30041574,2.30042354
1.13305015,1.13306195
1.73638714,1.73639599
1.98783109,1.98783964
2.11474126,2.11474916
2.19133288,2.19134063
2.24246135,2.24246925
2.27915704,2.27916514
2.30693848,2.30694608
2.3285422,2.32855015
2.34580562,2.34581352
2.35879419,2.35880214
1.23562813,1.23563828
1.97160443,1.97161238
2.17895616,2.17896341
2.26960704,2.26961454
2.32022616,2.32023401
2.3527373,2.3527452
2.3752489,2.37525645
2.39198956,2.39199716
2.4047823,2.4047904
2.41497753,2.41498488
2.42251854,2.42252639
1.75734867,1.75735772
2.36332552,2.36333347
2.42769527,2.42770297
2.45061146,2.45061891
2.46263203,2.46263973
2.46990918,2.46991688
2.4748862,2.47489375
2.47851091,2.47851811
2.48135538,2.48136268
2.48362073,2.48362823
2.48530132,2.48530862
1.03273013,1.03280223
1.26691458,1.26692473
1.45360745,1.45361755
1.59200516,1.59201456
1.69878549,1.69879399
1.78376105,1.78376955
1.8527838,1.85279255
1.91000943,1.91001768
1.95845101,1.95845936
1.99979117,1.99979972
2.03221286,2.03222111
1.03608953,1.03612763
1.28837182,1.28838192
1.48433437,1.48434352
1.6265206,1.62652955
1.73453684,1.73454554
1.81940918,1.81941788
1.88788278,1.88789153
1.94415867,1.94416692
1.99150239,1.99151094
2.03161614,2.03162409
2.06300164,2.06301029
1.0407236,1.04074785
1.31685102,1.31686102
1.52341192,1.52342112
1.66968502,1.66969422
1.77885401,1.77886326
1.86310468,1.86311328
1.93052846,1.93053686
1.98533347,1.98534197
2.03093894,2.03094684
2.06955498,2.06956293
2.09941574,2.09942354
1.04647563,1.04649328
1.35133329,1.35134289
1.56970826,1.56971701
1.71961867,1.71962757
1.82893465,1.82894305
1.91198747,1.91199607
1.9772543,1.97726285
2.03023674,2.03024499
2.07369883,2.07370698
2.11028765,2.11029585
2.13849847,2.13850647
1.05408185,1.0540993
1.39388747,1.39389697
1.62484275,1.62485145
1.77739043,1.77739903
1.8855877,1.88559595
1.96655611,1.96656476
2.02915543,2.02916383
2.07925669,2.07926514
2.12008168,2.12008993
2.1541748,2.1541824
2.18031295,2.18032095
1.06472535,1.06473995
1.44866417,1.44867377
1.69170586,1.69171451
1.84522002,1.84522817
1.9507302,1.9507384
2.0278471,2.0278552
2.08675519,2.08676344
2.13314034,2.13314884
2.17078229,2.17079029
2.20173779,2.20174664
2.22534402,2.22535212
1.07991926,1.07993231
1.52101802,1.52102727
1.77467838,1.77468738
1.92565611,1.92566431
2.02623054,2.02623874
2.09781519,2.09782349
2.15116408,2.15117233
2.19283179,2.19284004
2.22616326,2.22617151
2.25334475,2.25335255
2.27403594,2.27404409
1.10491478,1.10492673
1.62071842,1.62072737
1.88031787,1.88032637
2.02369751,2.02370566
2.11444354,2.11445159
2.17767415,2.1776824
2.22369999,2.22370769
2.2591688,2.25917625
2.28704873,2.28705673
2.30959079,2.30959894
2.32665552,2.32666307
1.15026854,1.15027949
1.76733182,1.76734047
2.01849601,2.01850461
2.14400558,2.14401358
2.21976371,2.21977201
2.27003677,2.27004497
2.30604291,2.30605046
2.33300676,2.33301466
2.35426831,2.35427616
2.37109573,2.37110288
2.38373403,2.38374193
1.26489296,1.26490301
2.0041291,2.0041375
2.20841751,2.20842546
2.29682335,2.2968309
2.34633671,2.34634441
2.37810149,2.37810909
2.40010219,2.40010979
2.41634626,2.41635341
2.42878944,2.42879699
2.43863183,2.43863948
2.44599794,2.44600569
1.81824636,1.81825486
2.38951453,2.38952238
2.45139112,2.45139897
2.47367383,2.47368113
2.48500914,2.48501664
2.49223363,2.49224103
2.49703752,2.49704527
2.50059171,2.50059926
2.50324499,2.50325239
2.50544429,2.50545174
2.50704327,2.50705052
1.03616984,1.03620249
1.28225502,1.28226532
1.47597917,1.47598847
1.61800395,1.61801315
1.72699164,1.72700039
1.81310335,1.8131119
1.88273266,1.88274101
1.94042185,1.9404302
1.98883626,1.98884436
2.03018054,2.03018844
2.06245294,2.06246094
1.04015231,1.04018266
1.30496621,1.30497621
1.50774217,1.50775152
1.65356631,1.65357581
1.7635883,1.7635974
1.84921905,1.8492278
1.91819155,1.9181997
1.97470433,1.97471263
2.02200811,2.02201616
2.062014,2.0620224
2.09314174,2.09314944
1.04539799,1.04541999
1.33490449,1.33491429
1.54828398,1.54829293
1.69790732,1.69791632
1.80870006,1.80870856
1.89354976,1.89355836
1.96114381,1.96115266
2.01586842,2.01587617
2.06140808,2.06141608
2.09980694,2.09981524
2.12943475,2.1294429
1.05209333,1.05211058
1.37080138,1.37081093
1.59612236,1.59613156
1.74873876,1.74874746
1.85904005,1.85904905
1.94259283,1.94260093
2.00794734,2.00795564
2.06065031,2.06065831
2.10403276,2.10404086
2.14025145,2.1402593
2.16822637,2.16823412
1.06087218,1.06088673
1.41563091,1.41564061
1.65266651,1.65267546
1.80749894,1.80750754
1.91635416,1.91636261
1.99722492,1.99723352
2.05983245,2.05984065
2.10963453,2.10964223
2.15017442,2.15018252
2.18381053,2.18381853
2.20957486,2.20958271
1.07299139,1.07300514
1.47263793,1.47264748
1.72124616,1.72125466
1.87583209,1.87584059
1.98202903,1.98203703
2.05891329,2.05892159
2.11716802,2.11717602
2.16321135,2.16321935
2.20033753,2.20034543
2.23086396,2.23087151
2.25408537,2.25409357
1.09067044,1.09068294
1.54704385,1.547053
1.80545862,1.80546722
1.95730352,1.95731167
2.05721634,2.05722444
2.12814822,2.12815612
2.18109175,2.1810997
2.22215354,2.22216094
2.25498175,2.25498955
2.28171391,2.28172201
2.30186741,2.30187526
1.11890175,1.11891285
1.65001827,1.65002717
1.91166059,1.91166874
2.05513584,2.05514434
2.14504128,2.14504943
2.20729733,2.20730523
2.25283743,2.25284528
2.28738998,2.28739753
2.3147879,2.31479515
2.33703338,2.33704083
2.35355339,2.35356114
1.17092312,1.17093467
1.79970103,1.79970993
2.05042942,2.05043777
2.17465018,2.17465838
2.24869365,2.24870155
2.29824744,2.29825454
2.33348931,2.33349696
2.35998128,2.35998933
2.38051428,2.38052153
2.39717226,2.39717951
2.4094201,2.40942705
1.29799069,1.29800049
2.03805038,2.03805833
2.23832385,2.238332
2.32484516,2.32485286
2.37315985,2.37316755
2.40391639,2.40392409
2.42532149,2.42532919
2.44116033,2.44116773
2.4533309,2.45333865
2.46297956,2.46298711
2.47005866,2.47006631
1.8816664,1.8816747
2.41647007,2.41647767
2.47601629,2.47602329
2.49696241,2.49696956
2.50808266,2.50808951
2.5149337,2.51494135
2.51954737,2.51955477
2.52295611,2.52296326
2.52556069,2.52556789
2.52763646,2.52764376
2.52913578,2.52914318
1.0399899,1.04001855
1.29755856,1.29756856
1.49796677,1.49797607
1.64367556,1.64368396
1.75428235,1.75429105
1.84120699,1.84121579
1.91147744,1.91148644
1.96909251,1.96910086
2.01765001,2.01765831
2.05884267,2.05885087
2.0909826,2.0909905
1.04449413,1.04451538
1.32148287,1.32149277
1.53065444,1.53066354
1.679676,1.67968485
1.79124737,1.79125632
1.87784013,1.87784853
1.9470198,1.94702815
2.00366685,2.0036752
2.05069927,2.05070757
2.09057342,2.09058162
2.12154188,2.12154978
1.05057062,1.05058977
1.35267396,1.35268381
1.57282767,1.57283677
1.72511765,1.7251267
1.83680543,1.83681408
1.92242711,1.92243576
1.99000146,1.99000966
2.04473614,2.04474419
2.09006739,2.09007574
2.12805735,2.128065
2.15756747,2.15757582
1.0581356,1.058152
1.39056339,1.39057309
1.62158558,1.62159443
1.77674199,1.77675089
1.88793997,1.88794847
1.97178167,1.97178992
2.03697059,2.03697844
2.08939587,2.08940402
2.13252161,2.13252971
2.16827809,2.16828614
2.19590505,2.19591325
1.06828499,1.06829899
1.43739936,1.43740866
1.67966444,1.67967354
1.83630986,1.83631866
1.94565105,1.9456592
2.02652458,2.02653303
2.08872158,2.08872988
2.13805985,2.13806775
2.17817733,2.17818503
2.21154919,2.21155724
2.23687842,2.23688577
1.08211194,1.08212434
1.49639379,1.49640294
1.74962637,1.74963522
1.90553246,1.90554056
2.01118449,2.01119274
2.08793563,2.08794388
2.14568707,2.14569467
2.1912016,2.19120925
2.22779749,2.22780524
2.2578871,2.2578946
2.28076227,2.28076977
1.10211971,1.10213156
1.57340448,1.57341388
1.83481808,1.83482693
1.98684729,1.98685544
2.08648873,2.08649723
2.15670608,2.15671403
2.20903329,2.20904064
2.24947095,2.2494784
2.28164402,2.28165192
2.30795455,2.3079621
2.32783139,2.32783889
1.13387027,1.13388147
1.67892213,1.67893078
1.94229234,1.94230079
2.08439031,2.08439806
2.17372645,2.1737342
2.23485817,2.23486612
2.27965926,2.27966706
2.31378595,2.31379395
2.34067312,2.34068047
2.36225357,2.36226112
2.3783642,2.3783712
1.19193218,1.19194243
1.83126491,1.83127361
2.08088025,2.0808887
2.20307143,2.20307968
2.27610338,2.27611098
2.32452306,2.32453091
2.35880909,2.35881649
2.38483185,2.3848398
2.40488437,2.40489132
2.42096308,2.42097023
2.43295264,2.43295964
1.33332924,1.33333904
2.06906287,2.06907112
2.2665196,2.2665275
2.35089841,2.35090601
2.39796097,2.39796807
2.42775978,2.42776733
2.44878244,2.44878989
2.46398524,2.46399219
2.47578864,2.47579584
2.48521547,2.48522257
2.49202391,2.49203111
1.93978904,1.93979764
2.44109777,2.44110567
2.49790643,2.49791363
2.5184808,2.51848785
2.52910379,2.52911089
2.53571572,2.53572317
2.54012851,2.54013561
2.54339332,2.54340027
2.54593957,2.54594667
2.54793159,2.54793939
2.54940465,2.54941175
1.04434016,1.04436126
1.31320038,1.31321033
1.51952258,1.51953163
1.66819801,1.66820681
1.78060276,1.78061151
1.86817005,1.8681786
