generation,ave_Payoff
0,0.005000150844314341
1,0.004598968363768432
2,0.004477062139743997
3,0.00412560694252608
4,0.003613764105888746
5,0.003082252233817697
6,0.002629349733573743
7,0.0022881697590706575
8,0.0020450230160094602
9,0.001864403287154953
10,0.0017145636720085054
11,0.0015770530676059032
12,0.0014445933188123187
13,0.0013161923422447387
14,0.0011933035672315054
15,0.0010777316246874333
16,9.707947143503202E-4
17,8.731492774315207E-4
18,7.848855030781073E-4
19,7.038717390536557E-4
20,6.349152763630865E-4
21,5.720835460792229E-4
22,5.163615758156544E-4
23,4.670280871808931E-4
24,4.2339698033144366E-4
25,4.268489935885467E-4
26,3.6851866650984777E-4
27,3.280942474460212E-4
28,2.9711599921826643E-4
29,2.7175230266665313E-4
30,2.501823388636187E-4
31,2.31465397448078E-4
32,2.1505475683601506E-4
33,2.0058843095062626E-4
34,1.8758779482013334E-4
35,1.7626902114856267E-4
36,1.6623203195156825E-4
37,1.5732092670598107E-4
38,1.4940128437306136E-4
39,1.4235545874158345E-4
40,1.360801734965382E-4
41,1.304846317663411E-4
42,1.2548894772709316E-4
43,1.2102280655655915E-4
44,1.1702430215305569E-4
45,1.1343892153578554E-4
46,1.1021865423110266E-4
47,1.0732120993553112E-4
48,1.0470933075402477E-4
49,4.058537619274366E-6
50,-3.2850662844600584E-5
51,2.608140305038747E-5
52,5.522026238797229E-5
53,7.052159150762513E-5
54,7.879750348904947E-5
55,8.322433890126339E-5
56,8.545786856793389E-5
57,8.642044858531507E-5
58,8.664608679784468E-5
59,8.644752126550553E-5
60,8.601398046786188E-5
61,8.545798949191914E-5
62,8.484462926065826E-5
63,8.421209893583084E-5
64,8.358207232834294E-5
65,8.296634192613681E-5
66,4.4198544806528165E-5
67,7.753455283762069E-5
68,4.7756968951556186E-5
69,6.035467533207737E-5
70,6.770758064514047E-5
71,7.202584035098723E-5
72,7.45058664695736E-5
73,7.586495765117896E-5
74,7.654146191257294E-5
75,7.680393879268003E-5
76,7.681683683585188E-5
77,7.668072429150725E-5
78,7.645699207546655E-5
79,6.879660172611568E-5
80,7.351356546587455E-5
81,7.478384591318556E-5
82,-1.405458260730971E-5
83,5.4824693251519906E-5
84,7.004442263377293E-5
85,7.320786963364188E-5
86,7.367528574763118E-5
87,7.354295535208583E-5
88,7.328005891383947E-5
89,7.299158745162672E-5
90,7.270096298298164E-5
91,7.241331166087537E-5
92,7.212964779991332E-5
93,7.185006179482827E-5
94,7.157444035827194E-5
95,7.130263089764977E-5
96,7.10344796486578E-5
97,7.076984060206643E-5
98,7.050857739645917E-5
99,7.025056338241739E-5
100,6.999568115722318E-5
101,6.974382193589254E-5
102,6.949488488224496E-5
103,6.924877645033207E-5
104,6.900540975892844E-5
105,6.876470400908681E-5
106,6.85265839481901E-5
107,6.829097938038189E-5
