name,stra.1,stra.15,stra.20,stra.33,stra.65,stra.69,stra.71,stra.100,stra.129,stra.131,stra.135,stra.138,stra.165,stra.195,stra.197,stra.205,stra.229,stra.233,stra.237,stra.257,
init,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,0.00389105,
0,0.00778185,0.0044093,0.0049504,0.00775671,0.00776157,0.00629286,0.00572164,0.00450456,0.00767353,0.00690377,0.00526092,0.00526475,0.0051195,0.00619239,0.00574094,0.00389273,0.00407227,0.00389454,0.00229758,0.00391375,
1,0.0132197,0.00449044,0.00456982,0.0131208,0.0131773,0.00882375,0.00721717,0.00413363,0.012938,0.010322,0.00630689,0.00606491,0.00591522,0.00849275,0.00770951,0.00382202,0.0038636,0.00386311,0.00139735,0.0037082,
2,0.020256,0.00437967,0.0032736,0.0200002,0.0201868,0.0114632,0.00843864,0.00329993,0.0197082,0.0138003,0.00702685,0.00611787,0.00636408,0.0105623,0.00971047,0.00371707,0.00352167,0.00381782,0.000901819,0.00339995,
3,0.0284995,0.00418935,0.00183786,0.0279673,0.0283943,0.014058,0.00937855,0.00237067,0.0275965,0.0168545,0.00742788,0.00547984,0.00655714,0.0121848,0.0116312,0.00360721,0.00318554,0.00377457,0.000629878,0.0030761,
4,0.0371966,0.00398997,0.000820838,0.0362514,0.0370434,0.0164427,0.0100581,0.00157745,0.0358825,0.0190911,0.00756228,0.00443643,0.00659672,0.0132475,0.0133659,0.00351468,0.00291557,0.00374787,0.000479943,0.00278888,
5,0.0457011,0.00381497,0.000291423,0.044214,0.0454879,0.0185566,0.0105434,0.000987848,0.0439585,0.0204053,0.00750968,0.00329684,0.00656626,0.013788,0.0148871,0.00344891,0.00271983,0.00374567,0.000394659,0.0025532,
6,0.0534716,0.00367631,8.19012e-05,0.0513508,0.0531879,0.0203789,0.0108971,0.000589291,0.0513209,0.0208729,0.00733916,0.00227554,0.00651396,0.0139023,0.0161899,0.00341062,0.00259042,0.00376924,0.000345837,0.00236812,
7,0.0601818,0.00357409,1.81832e-05,0.0573887,0.0598173,0.0219197,0.0111714,0.000338275,0.0576702,0.0206834,0.00710374,0.00147328,0.00646202,0.0137098,0.0172857,0.00339476,0.00251493,0.00381453,0.000318706,0.00222591,
8,0.0657328,0.00350292,3.21042e-06,0.0622792,0.0652757,0.0232071,0.0114035,0.000188564,0.0629194,0.0200556,0.00683961,0.000903226,0.00641689,0.0133226,0.018195,0.00339386,0.00248119,0.00387479,0.000305088,0.00211722,
9,0.0701555,0.00345616,4.87045e-07,0.0660929,0.0695933,0.0242668,0.0116148,0.000103745,0.0671008,0.0191871,0.00657164,0.000533054,0.0063782,0.0128336,0.0189352,0.00340057,0.00247901,0.0039424,0.000300272,0.00203433,
10,0.073652,0.00342652,6.6463e-08,0.0690439,0.0729718,0.0251434,0.0118192,5.66817e-05,0.0704058,0.0182164,0.00631142,0.000305791,0.00634318,0.0123036,0.0195376,0.00340929,0.00249985,0.00401186,0.000301213,0.00196978,
11,0.0764383,0.00340828,8.356e-09,0.0713453,0.0756277,0.0258777,0.0120236,3.08085e-05,0.0730378,0.0172231,0.00606314,0.000171515,0.00630951,0.0117663,0.0200314,0.00341666,0.00253791,0.00407999,0.000306117,0.00191814,
12,0.078655,0.00339411,9.85935e-10,0.0731167,0.077703,0.0264827,0.0122192,1.66558e-05,0.0751282,0.0162391,0.00582159,9.45376e-05,0.00627271,0.0112333,0.0204258,0.00341985,0.00258855,0.00414382,0.000313849,0.00187664,
13,0.0805351,0.00338779,1.11069e-10,0.0745959,0.0794308,0.0270225,0.0124291,8.9844e-06,0.076897,0.0153098,0.00559854,5.13966e-05,0.0062404,0.0107274,0.0207691,0.00342183,0.00265205,0.00420702,0.000324093,0.00184147,
14,0.0821091,0.00338401,1.20667e-11,0.0758071,0.0808438,0.0274896,0.0126405,4.83236e-06,0.0783717,0.0144278,0.00538669,2.76197e-05,0.00620676,0.010241,0.0210556,0.00341958,0.00272457,0.00426597,0.000336217,0.00181111,
